Year,Exporter,Exporter_ISO3,Exporter_Region,Exporter_Alliance,UNSC_Permanent_Member,Importer,Importer_ISO3,Importer_Region,Weapon_Category,Weapon_Subtype,Weapon_Class,Deal_Value_USD_M,Quantity,Deal_Framework,Technology_Transfer,Delivery_Timeline_Months,Importer_GDP_Per_Capita,Importer_Political_Stability,Importer_Democracy_Index,Importer_Conflict_Proximity,Active_Territorial_Dispute,Natural_Resource_Dependence,Importer_Military_Spend_Pct_GDP,Arms_Import_Trend,UN_Embargo,Escalation_Risk
2008,Italy,ITA,Europe & Central Asia,NATO,No,Singapore,SGP,East Asia & Pacific,Helicopters,Attack Helicopter,Offensive,334.3,11,Foreign Military Sales,No,39,62862,9.0,6.2,No,No,Low,3.0,Stable,No,Low
2008,Italy,ITA,Europe & Central Asia,NATO,No,Morocco,MAR,Middle East & North Africa,Missiles & Air Defence,MANPADS,Defensive,43.2,66,Government-to-Government,No,23,3512,4.4,3.6,No,Yes,Medium,3.1,Accelerating,No,Medium
2006,Italy,ITA,Europe & Central Asia,NATO,No,Pakistan,PAK,South Asia,Artillery & Ammunition,Mortar System,Offensive,60.5,31,Foreign Military Sales,No,43,1467,3.1,4.2,Yes,Yes,Low,3.7,Accelerating,No,High
2006,Italy,ITA,Europe & Central Asia,NATO,No,Poland,POL,Europe & Central Asia,Missiles & Air Defence,Anti-Ship Missile,Offensive,88.4,34,Government-to-Government,No,31,18211,6.8,7.0,No,No,Low,3.6,Stable,No,Low
2013,Italy,ITA,Europe & Central Asia,NATO,No,Egypt,EGY,Middle East & North Africa,Naval Vessels,Patrol Boat,Defensive,306.9,14,Foreign Military Sales,No,9,3243,3.9,2.7,Yes,No,Low,1.0,Stable,No,Medium
2010,Italy,ITA,Europe & Central Asia,NATO,No,Thailand,THA,East Asia & Pacific,Armoured Vehicles,IFV,Offensive,11.5,25,Offset Agreement,No,27,7431,4.7,4.5,No,No,Low,1.3,Declining,No,Low
2023,Italy,ITA,Europe & Central Asia,NATO,No,Qatar,QAT,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,164.5,36,Foreign Military Sales,Yes,16,58783,7.0,2.1,No,No,High,1.8,Stable,No,Low
2013,Italy,ITA,Europe & Central Asia,NATO,No,Poland,POL,Europe & Central Asia,Helicopters,Naval Helicopter,Defensive,22.1,22,Government-to-Government,No,8,15814,7.0,7.1,No,No,Low,3.8,Stable,No,Low
2022,Italy,ITA,Europe & Central Asia,NATO,No,Colombia,COL,Latin America & Caribbean,Helicopters,Attack Helicopter,Offensive,284.0,10,Direct Commercial Sale,No,42,6391,3.8,5.9,Yes,No,Medium,3.3,Accelerating,No,Medium
2017,Italy,ITA,Europe & Central Asia,NATO,No,Poland,POL,Europe & Central Asia,Combat Aircraft,Multi-Role Aircraft,Offensive,227.4,11,Multilateral Programme,Yes,20,17006,7.1,6.9,No,No,Low,4.2,Stable,No,Low
2014,Italy,ITA,Europe & Central Asia,NATO,No,Brazil,BRA,Latin America & Caribbean,Armoured Vehicles,APC,Defensive,122.7,82,Multilateral Programme,No,20,9019,5.3,6.8,No,No,Medium,1.3,Stable,No,Low
2010,Italy,ITA,Europe & Central Asia,NATO,No,India,IND,South Asia,Helicopters,Attack Helicopter,Offensive,116.8,15,Government-to-Government,Yes,43,2316,4.8,6.6,Yes,Yes,Low,2.5,Declining,No,Medium
2014,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,India,IND,South Asia,Naval Vessels,Patrol Boat,Defensive,283.5,8,Foreign Military Sales,Yes,37,2593,5.1,6.5,Yes,Yes,Low,2.2,Accelerating,No,High
2015,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Romania,ROU,Europe & Central Asia,Artillery & Ammunition,Guided Munitions,Offensive,68.0,49,Government-to-Government,No,11,14236,5.6,6.4,No,No,Low,2.4,Declining,No,Low
2021,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Qatar,QAT,Middle East & North Africa,Artillery & Ammunition,Guided Munitions,Offensive,300.0,57,Foreign Military Sales,No,38,59069,7.1,2.1,No,No,High,1.8,Accelerating,No,Medium
2021,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,170.6,92,Government-to-Government,Yes,41,22107,4.1,1.7,Yes,No,High,6.0,Stable,No,High
2015,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Small Arms & Light Weapons,Sniper System,Offensive,11.0,381,Bilateral Defence Pact,No,46,22970,4.3,1.8,Yes,No,High,5.9,Accelerating,No,High
2021,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Qatar,QAT,Middle East & North Africa,Missiles & Air Defence,SAM System,Defensive,189.2,55,Multilateral Programme,Yes,32,61425,6.9,2.1,No,No,High,1.5,Stable,No,Low
2016,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Qatar,QAT,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,118.2,65,Foreign Military Sales,Yes,32,61012,7.1,1.9,No,No,High,1.6,Stable,No,Low
2008,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Combat Aircraft,Trainer/Light Combat,Defensive,131.8,2,Government-to-Government,No,17,23322,4.1,2.0,Yes,No,High,6.1,Stable,No,High
2010,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,UAE,ARE,Middle East & North Africa,Small Arms & Light Weapons,Assault Rifle Batch,Offensive,17.8,373,Government-to-Government,Yes,23,40141,6.7,2.5,Yes,No,High,5.8,Stable,No,High
2018,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Qatar,QAT,Middle East & North Africa,Naval Vessels,Corvette,Offensive,572.1,16,Bilateral Defence Pact,Yes,29,59823,7.1,1.8,No,No,High,1.7,Accelerating,No,Medium
2013,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Naval Vessels,Frigate,Offensive,784.2,12,Government-to-Government,No,20,22368,4.2,2.0,Yes,No,High,6.3,Declining,No,High
2011,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Qatar,QAT,Middle East & North Africa,Armoured Vehicles,IFV,Offensive,153.7,40,Bilateral Defence Pact,No,36,56960,7.2,2.0,No,No,High,1.7,Stable,No,Medium
2013,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Indonesia,IDN,East Asia & Pacific,Naval Vessels,Frigate,Offensive,461.1,23,Foreign Military Sales,Yes,18,3999,5.4,6.3,No,Yes,Medium,1.1,Accelerating,No,Medium
2008,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Qatar,QAT,Middle East & North Africa,Sensors & Electronics,Targeting Pod,Offensive,121.6,12,Multilateral Programme,No,11,61075,6.8,2.0,No,No,High,1.6,Stable,No,Medium
2009,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Japan,JPN,East Asia & Pacific,Small Arms & Light Weapons,ATGM,Offensive,12.1,471,Offset Agreement,No,22,39065,8.7,8.0,No,Yes,Low,1.4,Stable,No,Medium
2022,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Australia,AUS,East Asia & Pacific,Missiles & Air Defence,SAM System,Defensive,141.7,29,Government-to-Government,Yes,24,58593,8.2,8.6,No,No,Medium,1.9,Stable,No,Low
2011,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,UAE,ARE,Middle East & North Africa,Armoured Vehicles,IFV,Offensive,145.4,97,Government-to-Government,No,41,39853,7.1,2.6,Yes,No,High,5.5,Accelerating,No,High
2014,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,89.2,85,Direct Commercial Sale,No,41,22959,4.2,1.9,Yes,No,High,5.9,Accelerating,No,High
2012,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Qatar,QAT,Middle East & North Africa,Combat Aircraft,Trainer/Light Combat,Defensive,480.1,5,Government-to-Government,No,37,62007,6.9,1.8,No,No,High,1.7,Stable,No,Low
2006,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Australia,AUS,East Asia & Pacific,Naval Vessels,Frigate,Offensive,202.4,20,Foreign Military Sales,No,37,55646,8.4,8.8,No,No,Medium,1.8,Stable,No,Low
2009,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Qatar,QAT,Middle East & North Africa,Armoured Vehicles,IFV,Offensive,51.9,17,Multilateral Programme,No,22,58809,7.2,1.8,No,No,High,1.6,Declining,No,Low
2006,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Missiles & Air Defence,Anti-Ship Missile,Offensive,261.0,32,Bilateral Defence Pact,No,35,22748,4.1,1.9,Yes,No,High,6.2,Accelerating,No,High
2011,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Naval Vessels,Frigate,Offensive,380.9,15,Multilateral Programme,No,20,21996,4.1,1.8,Yes,No,High,6.2,Stable,No,High
2015,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Indonesia,IDN,East Asia & Pacific,Helicopters,Attack Helicopter,Offensive,264.0,7,Foreign Military Sales,No,47,4283,5.1,6.3,No,Yes,Medium,0.9,Stable,No,Low
2010,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,UAE,ARE,Middle East & North Africa,Sensors & Electronics,Targeting Pod,Offensive,116.9,13,Bilateral Defence Pact,No,40,39988,7.0,2.3,Yes,No,High,5.9,Stable,No,Medium
2015,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Australia,AUS,East Asia & Pacific,Combat Aircraft,UAV/Drone,Offensive,192.3,3,Direct Commercial Sale,Yes,39,56998,8.2,8.9,No,No,Medium,1.8,Accelerating,No,Medium
2024,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,UAE,ARE,Middle East & North Africa,Armoured Vehicles,IFV,Offensive,59.3,90,Foreign Military Sales,No,14,41261,6.7,2.7,Yes,No,High,5.6,Stable,No,Medium
2008,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Indonesia,IDN,East Asia & Pacific,Missiles & Air Defence,Anti-Ship Missile,Offensive,263.9,79,Foreign Military Sales,Yes,12,4454,5.3,6.3,No,Yes,Medium,0.7,Declining,No,Low
2007,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,India,IND,South Asia,Armoured Vehicles,MRAP,Defensive,98.0,19,Direct Commercial Sale,No,7,2574,4.8,6.5,Yes,Yes,Low,2.5,Stable,No,High
2007,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,UAE,ARE,Middle East & North Africa,Helicopters,Transport Helicopter,Defensive,57.6,23,Bilateral Defence Pact,No,21,45003,6.7,2.7,Yes,No,High,5.8,Accelerating,No,High
2022,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Nigeria,NGA,Sub-Saharan Africa,Armoured Vehicles,Main Battle Tank,Offensive,82.0,118,Foreign Military Sales,Yes,37,2039,2.8,4.1,Yes,Yes,High,0.7,Accelerating,No,High
2015,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Japan,JPN,East Asia & Pacific,Artillery & Ammunition,Guided Munitions,Offensive,131.8,32,Government-to-Government,No,16,42741,8.7,8.1,No,Yes,Low,1.0,Accelerating,No,Medium
2014,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,100.5,28,Bilateral Defence Pact,Yes,39,21860,4.1,1.6,Yes,No,High,6.1,Declining,No,High
2009,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,9.4,26,Multilateral Programme,No,27,22041,4.2,1.9,Yes,No,High,6.2,Stable,No,High
2009,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,South Korea,KOR,East Asia & Pacific,Naval Vessels,Frigate,Offensive,200.1,19,Foreign Military Sales,Yes,46,30899,7.6,7.9,No,Yes,Low,2.9,Stable,No,Medium
2024,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Singapore,SGP,East Asia & Pacific,Naval Vessels,Frigate,Offensive,462.2,8,Government-to-Government,Yes,15,68249,9.0,6.0,No,No,Low,3.5,Stable,No,Low
2024,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,India,IND,South Asia,Combat Aircraft,Fighter Jet,Offensive,447.7,12,Foreign Military Sales,Yes,25,2422,4.8,6.4,Yes,Yes,Low,2.7,Stable,No,High
2020,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,India,IND,South Asia,Naval Vessels,Corvette,Offensive,172.1,5,Offset Agreement,Yes,24,2685,4.7,6.7,Yes,Yes,Low,2.7,Stable,No,High
2023,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Australia,AUS,East Asia & Pacific,Missiles & Air Defence,SAM System,Defensive,247.3,32,Bilateral Defence Pact,Yes,44,57227,8.3,8.9,No,No,Medium,2.1,Declining,No,Low
2024,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,UAE,ARE,Middle East & North Africa,Combat Aircraft,Multi-Role Aircraft,Offensive,553.0,19,Bilateral Defence Pact,Yes,31,43301,6.7,2.4,Yes,No,High,5.6,Accelerating,No,Medium
2005,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Japan,JPN,East Asia & Pacific,Armoured Vehicles,APC,Defensive,41.5,15,Bilateral Defence Pact,No,10,38227,8.6,8.0,No,Yes,Low,1.5,Declining,No,Low
2013,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,76.5,36,Multilateral Programme,No,8,22022,4.1,1.7,Yes,No,High,6.0,Stable,No,High
2019,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Chile,CHL,Latin America & Caribbean,Missiles & Air Defence,Cruise Missile,Offensive,83.6,28,Government-to-Government,No,12,13967,6.5,7.8,No,No,Medium,2.1,Stable,No,Low
2014,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Poland,POL,Europe & Central Asia,Armoured Vehicles,APC,Defensive,200.7,75,Bilateral Defence Pact,Yes,12,16151,6.7,7.1,No,No,Low,3.9,Accelerating,No,Low
2022,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Australia,AUS,East Asia & Pacific,Missiles & Air Defence,MANPADS,Defensive,310.4,24,Bilateral Defence Pact,Yes,40,53293,8.0,8.6,No,No,Medium,1.9,Stable,No,Low
2021,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Qatar,QAT,Middle East & North Africa,Missiles & Air Defence,MANPADS,Defensive,165.5,7,Bilateral Defence Pact,Yes,30,62789,7.0,2.1,No,No,High,1.5,Stable,No,Low
2007,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Small Arms & Light Weapons,Sniper System,Offensive,26.0,107,Foreign Military Sales,No,22,23449,3.9,1.9,Yes,No,High,5.9,Accelerating,No,High
2008,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,UAE,ARE,Middle East & North Africa,Missiles & Air Defence,SAM System,Defensive,110.1,39,Offset Agreement,No,40,40092,7.1,2.5,Yes,No,High,5.8,Stable,No,Medium
2012,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Australia,AUS,East Asia & Pacific,Naval Vessels,Corvette,Offensive,467.8,19,Foreign Military Sales,Yes,41,57430,8.5,8.5,No,No,Medium,2.0,Stable,No,Low
2011,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Australia,AUS,East Asia & Pacific,Naval Vessels,Corvette,Offensive,352.1,14,Bilateral Defence Pact,No,8,52519,8.3,8.7,No,No,Medium,2.0,Declining,No,Low
2008,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Qatar,QAT,Middle East & North Africa,Helicopters,Utility Helicopter,Defensive,188.5,20,Offset Agreement,Yes,45,63421,7.0,1.9,No,No,High,1.3,Stable,No,Low
2019,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Australia,AUS,East Asia & Pacific,Small Arms & Light Weapons,Assault Rifle Batch,Offensive,10.3,490,Bilateral Defence Pact,No,25,55017,8.3,8.6,No,No,Medium,2.1,Stable,No,Medium
2006,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Singapore,SGP,East Asia & Pacific,Naval Vessels,Frigate,Offensive,101.7,20,Government-to-Government,No,22,61134,8.9,6.0,No,No,Low,3.2,Stable,No,Low
2014,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,52.9,42,Bilateral Defence Pact,No,12,24618,4.3,1.8,Yes,No,High,6.0,Stable,No,High
2022,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,UAE,ARE,Middle East & North Africa,Naval Vessels,Patrol Boat,Defensive,85.6,11,Foreign Military Sales,No,19,45093,6.8,2.4,Yes,No,High,5.8,Accelerating,No,Medium
2014,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Poland,POL,Europe & Central Asia,Armoured Vehicles,IFV,Offensive,44.6,99,Offset Agreement,Yes,6,16309,6.7,7.1,No,No,Low,4.0,Stable,No,Low
2021,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,India,IND,South Asia,Artillery & Ammunition,Mortar System,Offensive,35.3,66,Government-to-Government,No,44,2588,4.9,6.5,Yes,Yes,Low,2.3,Stable,No,Medium
2009,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Australia,AUS,East Asia & Pacific,Armoured Vehicles,MRAP,Defensive,163.2,101,Offset Agreement,Yes,32,51262,7.9,8.6,No,No,Medium,1.7,Stable,No,Low
2005,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,India,IND,South Asia,Armoured Vehicles,IFV,Offensive,148.8,57,Foreign Military Sales,Yes,21,2356,4.7,6.4,Yes,Yes,Low,2.5,Accelerating,No,High
2021,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Romania,ROU,Europe & Central Asia,Armoured Vehicles,APC,Defensive,129.9,80,Direct Commercial Sale,No,26,13969,5.6,6.4,No,No,Low,2.2,Accelerating,No,Low
2016,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Artillery & Ammunition,Guided Munitions,Offensive,110.3,62,Foreign Military Sales,No,13,22445,4.0,1.7,Yes,No,High,5.7,Declining,No,High
2020,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,UAE,ARE,Middle East & North Africa,Missiles & Air Defence,Anti-Ship Missile,Offensive,508.3,19,Foreign Military Sales,Yes,13,42114,6.5,2.4,Yes,No,High,5.3,Declining,No,Medium
2006,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Helicopters,Utility Helicopter,Defensive,224.2,11,Bilateral Defence Pact,No,37,22775,4.5,1.8,Yes,No,High,6.1,Declining,No,Medium
2013,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Missiles & Air Defence,MANPADS,Defensive,330.6,24,Bilateral Defence Pact,No,25,23150,4.0,1.7,Yes,No,High,6.0,Declining,No,High
2018,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Qatar,QAT,Middle East & North Africa,Missiles & Air Defence,SAM System,Defensive,305.7,49,Government-to-Government,No,43,58326,7.3,1.9,No,No,High,1.3,Accelerating,No,Low
2020,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Missiles & Air Defence,MANPADS,Defensive,198.6,54,Government-to-Government,Yes,8,24443,4.3,1.7,Yes,No,High,6.2,Accelerating,No,High
2008,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Chile,CHL,Latin America & Caribbean,Missiles & Air Defence,Anti-Ship Missile,Offensive,175.3,17,Foreign Military Sales,Yes,41,14438,6.5,8.0,No,No,Medium,1.9,Stable,No,Low
2017,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Chile,CHL,Latin America & Caribbean,Armoured Vehicles,Main Battle Tank,Offensive,257.9,60,Government-to-Government,Yes,39,14136,6.4,7.8,No,No,Medium,1.8,Declining,No,Low
2022,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Qatar,QAT,Middle East & North Africa,Missiles & Air Defence,MANPADS,Defensive,610.4,35,Direct Commercial Sale,No,16,63878,7.2,2.0,No,No,High,1.6,Stable,No,Low
2021,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Australia,AUS,East Asia & Pacific,Artillery & Ammunition,Mortar System,Offensive,59.1,34,Offset Agreement,No,10,55164,8.4,8.7,No,No,Medium,2.3,Stable,No,Low
2024,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,India,IND,South Asia,Helicopters,Utility Helicopter,Defensive,153.3,7,Direct Commercial Sale,No,18,2669,4.7,6.5,Yes,Yes,Low,2.2,Stable,No,High
2023,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Singapore,SGP,East Asia & Pacific,Naval Vessels,Corvette,Offensive,120.0,24,Direct Commercial Sale,No,23,69209,9.2,5.8,No,No,Low,3.3,Accelerating,No,Medium
2014,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Australia,AUS,East Asia & Pacific,Helicopters,Attack Helicopter,Offensive,139.2,3,Multilateral Programme,No,10,52935,8.3,8.7,No,No,Medium,1.9,Stable,No,Medium
2017,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Armoured Vehicles,MRAP,Defensive,375.0,37,Direct Commercial Sale,Yes,21,24162,4.4,1.9,Yes,No,High,5.8,Stable,No,High
2022,United Kingdom,GBR,Europe & Central Asia,NATO,Yes,Poland,POL,Europe & Central Asia,Helicopters,Attack Helicopter,Offensive,110.8,12,Government-to-Government,No,8,17698,6.9,7.1,No,No,Low,3.8,Accelerating,No,Medium
2018,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,Poland,POL,Europe & Central Asia,Missiles & Air Defence,SAM System,Defensive,103.1,60,Direct Commercial Sale,No,41,16677,7.2,7.0,No,No,Low,4.2,Stable,No,Low
2005,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,Chile,CHL,Latin America & Caribbean,Armoured Vehicles,Main Battle Tank,Offensive,78.8,72,Bilateral Defence Pact,No,36,14383,6.6,8.2,No,No,Medium,1.7,Stable,No,Medium
2011,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,Indonesia,IDN,East Asia & Pacific,Combat Aircraft,Fighter Jet,Offensive,716.8,1,Government-to-Government,No,38,3985,5.2,6.4,No,Yes,Medium,0.8,Stable,No,Medium
2012,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,Indonesia,IDN,East Asia & Pacific,Naval Vessels,Patrol Boat,Defensive,649.8,18,Direct Commercial Sale,No,33,4499,5.3,6.4,No,Yes,Medium,0.7,Stable,No,Medium
2009,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,Australia,AUS,East Asia & Pacific,Naval Vessels,Submarine,Offensive,215.0,9,Bilateral Defence Pact,Yes,41,56238,8.4,8.6,No,No,Medium,2.1,Accelerating,No,Low
2023,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,Chile,CHL,Latin America & Caribbean,Naval Vessels,Patrol Boat,Defensive,197.9,3,Government-to-Government,Yes,22,15522,6.7,7.8,No,No,Medium,1.7,Declining,No,Low
2005,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,Iraq,IRQ,Middle East & North Africa,Missiles & Air Defence,Anti-Ship Missile,Offensive,491.9,77,Foreign Military Sales,No,34,4691,2.2,3.4,Yes,Yes,High,3.8,Accelerating,No,High
2023,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,India,IND,South Asia,Combat Aircraft,Multi-Role Aircraft,Offensive,103.8,16,Government-to-Government,Yes,7,2406,4.6,6.8,Yes,Yes,Low,2.4,Accelerating,No,High
2014,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,India,IND,South Asia,Armoured Vehicles,APC,Defensive,25.5,113,Government-to-Government,No,9,2626,4.7,6.6,Yes,Yes,Low,2.5,Stable,No,Medium
2007,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,Australia,AUS,East Asia & Pacific,Helicopters,Attack Helicopter,Offensive,53.4,23,Foreign Military Sales,Yes,31,58695,8.2,8.6,No,No,Medium,2.0,Accelerating,No,Low
2020,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,Poland,POL,Europe & Central Asia,Artillery & Ammunition,Guided Munitions,Offensive,59.2,5,Government-to-Government,No,21,17670,7.3,7.0,No,No,Low,3.9,Accelerating,No,Low
2018,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,Australia,AUS,East Asia & Pacific,Armoured Vehicles,IFV,Offensive,168.2,95,Foreign Military Sales,Yes,37,55668,8.3,8.7,No,No,Medium,2.1,Stable,No,Low
2006,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,Peru,PER,Latin America & Caribbean,Small Arms & Light Weapons,ATGM,Offensive,20.0,302,Bilateral Defence Pact,No,42,6897,4.7,6.3,No,No,Medium,1.4,Stable,No,Medium
2020,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,Egypt,EGY,Middle East & North Africa,Missiles & Air Defence,Anti-Ship Missile,Offensive,124.4,10,Bilateral Defence Pact,No,44,3747,3.8,3.0,Yes,No,Low,1.2,Stable,No,High
2019,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,Poland,POL,Europe & Central Asia,Missiles & Air Defence,SAM System,Defensive,355.6,76,Foreign Military Sales,Yes,18,16714,7.0,7.0,No,No,Low,3.9,Accelerating,No,Low
2011,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,India,IND,South Asia,Armoured Vehicles,Main Battle Tank,Offensive,53.2,15,Bilateral Defence Pact,No,20,2676,4.8,6.7,Yes,Yes,Low,2.3,Declining,No,High
2022,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,Australia,AUS,East Asia & Pacific,Combat Aircraft,Fighter Jet,Offensive,424.2,10,Bilateral Defence Pact,Yes,6,56540,8.4,8.8,No,No,Medium,2.1,Accelerating,No,Medium
2021,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,India,IND,South Asia,Missiles & Air Defence,Cruise Missile,Offensive,54.1,18,Offset Agreement,Yes,23,2604,4.8,6.4,Yes,Yes,Low,2.3,Declining,No,High
2021,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,India,IND,South Asia,Armoured Vehicles,MRAP,Defensive,66.8,30,Foreign Military Sales,Yes,38,2444,4.8,6.7,Yes,Yes,Low,2.6,Stable,No,Medium
2014,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,Indonesia,IDN,East Asia & Pacific,Combat Aircraft,Multi-Role Aircraft,Offensive,336.2,5,Government-to-Government,Yes,14,3987,5.2,6.4,No,Yes,Medium,0.8,Accelerating,No,Medium
2011,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,Philippines,PHL,East Asia & Pacific,Combat Aircraft,Multi-Role Aircraft,Offensive,256.6,11,Bilateral Defence Pact,Yes,21,3426,4.3,6.2,Yes,Yes,Low,1.2,Declining,No,Medium
2012,South Korea,KOR,East Asia & Pacific,Non-NATO Ally,No,India,IND,South Asia,Armoured Vehicles,APC,Defensive,102.9,33,Government-to-Government,No,47,2437,5.1,6.6,Yes,Yes,Low,2.2,Stable,No,High
